C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-18-19-478.load
Comment s9w
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	182.040	99.900	67.340	349.280	0.000	127.050	137.500	92.400	356.950	0.000		
0.010	182.040	99.900	67.340	349.280	0.010	129.800	137.500	92.400	359.700	0.010		
0.020	182.040	99.900	67.340	349.280	0.020	129.800	134.750	89.650	354.200	0.020		
0.030	182.040	99.900	67.340	349.280	0.030	129.800	137.500	89.650	356.950	0.030		
0.040	182.040	99.900	67.340	349.280	0.040	129.800	134.750	89.650	354.200	0.040		
0.050	182.040	99.900	67.340	349.280	0.050	129.800	137.500	89.650	356.950	0.050		
0.060	182.040	99.900	67.340	349.280	0.060	129.800	137.500	89.650	356.950	0.060		
0.070	182.040	99.900	69.560	351.500	0.070	129.800	137.500	87.450	354.750	0.070		
0.080	179.820	102.120	69.560	351.500	0.080	132.000	134.750	87.450	354.200	0.080		
0.090	179.820	99.900	67.340	347.060	0.090	132.000	137.500	87.450	356.950	0.090		
0.100	182.040	102.120	69.560	353.720	0.100	132.000	137.500	87.450	356.950	0.100		
0.110	179.820	99.900	67.340	347.060	0.110	132.000	137.500	84.700	354.200	0.110		
0.120	179.580	99.280	69.350	348.210	0.120	132.000	134.750	84.700	351.450	0.120		
0.130	179.580	102.200	67.160	348.940	0.130	132.000	137.500	84.700	354.200	0.130		
0.140	179.580	99.280	67.160	346.020	0.140	134.750	134.750	82.500	352.000	0.140		
0.150	179.580	102.200	69.350	351.130	0.150	132.000	137.500	84.700	354.200	0.150		
0.160	179.580	99.280	69.350	348.210	0.160	132.000	137.500	84.700	354.200	0.160		
0.170	179.580	99.280	67.160	346.020	0.170	132.000	137.500	82.500	352.000	0.170		
0.180	179.580	102.200	69.350	351.130	0.180	134.750	137.500	82.500	354.750	0.180		
0.190	179.580	102.200	72.270	354.050	0.190	134.750	137.500	82.500	354.750	0.190		
0.200	179.580	102.200	69.350	351.130	0.200	134.750	137.500	82.500	354.750	0.200		
0.210	182.500	104.390	69.350	356.240	0.210	134.750	137.500	82.500	354.750	0.210		
0.220	182.500	102.200	69.350	354.050	0.220	134.750	137.500	82.500	354.750	0.220		
0.230	182.500	102.200	69.350	354.050	0.230	134.750	134.750	82.500	352.000	0.230		
0.240	179.580	102.200	72.270	354.050	0.240	134.750	137.500	82.500	354.750	0.240		
0.250	179.580	102.200	69.350	351.130	0.250	137.500	137.500	82.500	357.500	0.250		
0.260	182.500	102.200	69.350	354.050	0.260	134.750	137.500	79.750	352.000	0.260		
0.270	182.500	102.200	72.270	356.970	0.270	137.500	134.750	79.750	352.000	0.270		
0.280	182.500	104.390	72.270	359.160	0.280	134.750	137.500	79.750	352.000	0.280		
0.290	182.500	104.390	69.350	356.240	0.290	137.500	134.750	79.750	352.000	0.290		
0.300	179.580	102.200	69.350	351.130	0.300	137.200	134.960	79.520	351.680	0.300		
0.310	182.500	104.390	69.350	356.240	0.310	137.200	134.960	79.520	351.680	0.310		
0.320	182.500	102.200	69.350	354.050	0.320	137.200	137.200	79.520	353.920	0.320		
0.330	182.500	102.200	72.270	356.970	0.330	134.960	137.200	79.520	351.680	0.330		
0.340	179.580	102.200	69.350	351.130	0.340	137.200	137.200	79.520	353.920	0.340		
0.350	182.500	102.200	72.270	356.970	0.350	137.200	137.200	79.520	353.920	0.350		
0.360	179.580	102.200	69.350	351.130	0.360	137.200	137.200	79.520	353.920	0.360		
0.370	179.580	102.200	72.270	354.050	0.370	137.200	140.000	79.520	356.720	0.370		
0.380	179.580	102.200	72.270	354.050	0.380	137.200	137.200	79.520	353.920	0.380		
0.390	179.580	104.390	69.350	353.320	0.390	134.960	137.200	79.520	351.680	0.390		
0.400	179.580	104.390	72.270	356.240	0.400	137.200	140.000	79.520	356.720	0.400		
0.410	179.580	102.200	69.350	351.130	0.410	137.200	140.000	79.520	356.720	0.410		
0.420	179.580	102.200	72.270	354.050	0.420	137.200	140.000	79.520	356.720	0.420		
0.430	179.580	102.200	69.350	351.130	0.430	137.200	137.200	79.520	353.920	0.430		
0.440	179.580	102.200	72.270	354.050	0.440	137.200	140.000	77.280	354.480	0.440		
0.450	179.580	102.200	72.270	354.050	0.450	137.200	140.000	77.280	354.480	0.450		
0.460	182.500	102.200	72.270	356.970	0.460	137.200	140.000	79.520	356.720	0.460		
0.470	182.500	102.200	69.350	354.050	0.470	137.200	137.200	77.280	351.680	0.470		
0.480	179.580	102.200	69.350	351.130	0.480	137.200	140.000	77.280	354.480	0.480		
0.490	179.580	102.200	72.270	354.050	0.490	137.200	140.000	77.280	354.480	0.490		
