C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\18\loadapp_2025-12-16_14-17-04-359.load
Comment s18bvr
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	112.240	109.940	115.000	337.180	0.000	149.600	152.320	161.840	463.760	0.000		
0.010	112.240	112.240	115.000	339.480	0.010	146.880	154.360	161.840	463.080	0.010		
0.020	112.240	112.240	115.000	339.480	0.020	146.880	154.360	164.560	465.800	0.020		
0.030	112.240	109.940	115.000	337.180	0.030	146.880	154.360	164.560	465.800	0.030		
0.040	112.240	109.940	115.000	337.180	0.040	146.880	154.360	164.560	465.800	0.040		
0.050	112.240	109.940	112.240	334.420	0.050	146.880	154.360	164.560	465.800	0.050		
0.060	112.240	109.940	112.240	334.420	0.060	144.840	154.360	164.560	463.760	0.060		
0.070	112.240	109.940	112.240	334.420	0.070	144.840	157.080	164.560	466.480	0.070		
0.080	115.000	109.940	112.240	337.180	0.080	144.840	154.360	167.280	466.480	0.080		
0.090	112.240	109.940	109.940	332.120	0.090	144.840	154.360	167.280	466.480	0.090		
0.100	112.240	109.940	112.240	334.420	0.100	144.840	157.080	167.280	469.200	0.100		
0.110	115.000	109.940	109.940	334.880	0.110	144.840	154.360	170.000	469.200	0.110		
0.120	112.240	109.940	109.940	332.120	0.120	144.840	154.360	167.280	466.480	0.120		
0.130	112.240	112.240	112.240	336.720	0.130	142.120	154.360	167.280	463.760	0.130		
0.140	115.000	109.940	109.940	334.880	0.140	144.840	157.080	170.000	471.920	0.140		
0.150	112.240	109.940	109.940	332.120	0.150	144.900	157.320	169.740	471.960	0.150		
0.160	112.240	112.240	109.940	334.420	0.160	144.900	157.320	169.740	471.960	0.160		
0.170	112.240	109.940	109.940	332.120	0.170	144.900	157.320	172.500	474.720	0.170		
0.180	112.240	109.940	109.940	332.120	0.180	142.140	157.320	166.980	466.440	0.180		
0.190	115.000	109.940	109.940	334.880	0.190	142.140	157.320	169.740	469.200	0.190		
0.200	115.000	109.940	109.940	334.880	0.200	142.140	157.320	169.740	469.200	0.200		
0.210	112.240	109.940	109.940	332.120	0.210	144.900	157.320	169.740	471.960	0.210		
0.220	112.240	109.940	109.940	332.120	0.220	142.140	154.560	166.980	463.680	0.220		
0.230	115.000	109.940	109.940	334.880	0.230	142.140	157.320	169.740	469.200	0.230		
0.240	115.000	109.940	109.940	334.880	0.240	144.900	157.320	172.500	474.720	0.240		
0.250	115.000	109.940	109.940	334.880	0.250	144.900	157.320	169.740	471.960	0.250		
0.260	115.000	107.180	109.940	332.120	0.260	142.140	157.320	169.740	469.200	0.260		
0.270	112.240	109.940	109.940	332.120	0.270	144.900	157.320	172.500	474.720	0.270		
0.280	115.000	109.940	109.940	334.880	0.280	142.140	157.320	172.500	471.960	0.280		
0.290	114.680	109.980	109.980	334.640	0.290	142.140	154.560	169.740	466.440	0.290		
